country,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,population,continent
Austria,73.72862,225.80757,9064679.0,Europe
Belgium,78.77592,270.31345,11641813.0,Europe
Bulgaria,30.443125,69.24566,6825863.0,Europe
Croatia,57.63479,137.56297,3907031.0,Europe
Denmark,79.82523,253.46054,5902898.0,Europe
Estonia,63.902237,160.84238,1350092.0,Europe
Finland,78.05494,239.29619,5569299.0,Europe
France,80.257324,233.10094,66277412.0,Europe
Germany,75.596375,229.81345,84086228.0,Europe
Greece,73.44144,215.7793,10412481.0,Europe
Hungary,64.09039,172.45674,9684306.0,Europe
Ireland,79.56113,218.16542,5110013.0,Europe
Italy,83.00122,252.13652,59619106.0,Europe
Latvia,69.427734,153.94081,1881058.0,Europe
Lithuania,66.77878,163.47127,2816922.0,Europe
Luxembourg,5.796276,21.649248,653316.0,Europe
Malta,89.27875,266.71887,528194.0,Europe
Netherlands,65.73038,222.0914,17904422.0,Europe
Poland,59.15184,152.751,38385734.0,Europe
Portugal,85.530426,271.8114,10417075.0,Europe
Romania,42.337685,87.79508,19166776.0,Europe
Slovakia,51.00698,131.95915,5473194.0,Europe
Slovenia,57.78213,141.66985,2115230.0,Europe
Spain,85.17771,221.29185,47828386.0,Europe
Sweden,72.40807,246.14775,10487333.0,Europe
